name,eco,fen,moves
Bogo-Indian Defense: New England Variation,E11,rnbqk2r/pppp1ppp/4pn2/8/1bPP4/8/PP1NPPPP/RNBQKB1R b KQkq,  d4 Nf6   c4 e6   Nf3 Bb4+   Nfd2
Bongcloud Attack,C20,rnbqkbnr/pppp1ppp/8/4p3/4P3/8/PPPPKPPP/RNBQ1BNR b kq,  e4 e5   Ke2
Borg Defense,B00,rnbqkbnr/pppppp1p/8/6p1/4P3/8/PPPP1PPP/RNBQKBNR w KQkq,  e4 g5
Borg Defense: Borg Gambit,A40,rnbqkbnr/pppppp1p/8/6p1/3P4/8/PPP1PPPP/RNBQKBNR w KQkq,  d4 g5
Borg Defense: Langhorst Gambit,B00,rnbqkbnr/p2p1p1p/1p2p3/2P3p1/4P3/2P5/PP3PPP/RNBQKBNR w KQkq,  e4 g5   d4 e6   c3 c5   dxc5 b6
Borg Defense: Troon Gambit,B00,rnbqkbnr/pppppp2/7p/8/3PP1pP/8/PPP2PP1/RNBQKBNR w KQkq,  e4 g5   d4 h6   h4 g4
Borg Opening: Zilbermints Gambit,B00,rnbqkbnr/pppp1p1p/8/4p1p1/3PP3/8/PPP2PPP/RNBQKBNR w KQkq,  e4 g5   d4 e5
Bronstein Gambit,A45,rnbqkb1r/pppppppp/5n2/8/3P2P1/8/PPP1PP1P/RNBQKBNR b KQkq,  d4 Nf6   g4
Budapest Defense,A52,rnbqkb1r/pppp1ppp/8/4P3/2P3n1/8/PP2PPPP/RNBQKBNR w KQkq,  d4 Nf6   c4 e5   dxe5 Ng4
Budapest Defense: Adler Variation,A52,rnbqkb1r/pppp1ppp/8/4P3/2P3n1/5N2/PP2PPPP/RNBQKB1R b KQkq,  d4 Nf6   c4 e5   dxe5 Ng4   Nf3
Budapest Defense: Alekhine Variation,A52,rnbqkb1r/pppp1ppp/8/4P3/2P1P1n1/8/PP3PPP/RNBQKBNR b KQkq,  d4 Nf6   c4 e5   dxe5 Ng4   e4
"Budapest Defense: Alekhine Variation, Tartakower Defense",A52,rnbqkb1r/ppp2ppp/3p4/4P3/2P1P1n1/8/PP3PPP/RNBQKBNR w KQkq,  d4 Nf6   c4 e5   dxe5 Ng4   e4 d6
"Budapest Defense: Fajarowicz Defense, Bonsdorf Variation",A51,rnbqkb1r/p1pp1ppp/1p6/4P3/2P1n3/P7/1P2PPPP/RNBQKBNR w KQkq,  d4 Nf6   c4 e5   dxe5 Ne4   a3 b6
Budapest Defense: Fajarowicz Variation,A51,rnbqkb1r/pppp1ppp/8/4P3/2P1n3/8/PP2PPPP/RNBQKBNR w KQkq,  d4 Nf6   c4 e5   dxe5 Ne4
Budapest Defense: Fajarowicz-Steiner Variation,A51,rnbqkb1r/pppp1ppp/8/4P3/2P1n3/8/PPQ1PPPP/RNB1KBNR b KQkq,  d4 Nf6   c4 e5   dxe5 Ne4   Qc2
Budapest Defense: Rubinstein Variation,A52,rnbqkb1r/pppp1ppp/8/4P3/2P2Bn1/8/PP2PPPP/RN1QKBNR b KQkq,  d4 Nf6   c4 e5   dxe5 Ng4   Bf4
Canard Opening,A45,rnbqkb1r/pppppppp/5n2/8/3P1P2/8/PPP1P1PP/RNBQKBNR b KQkq,  d4 Nf6   f4
Caro-Kann Defense,B10,rnbqkbnr/pp1ppppp/2p5/8/4P3/8/PPPP1PPP/RNBQKBNR w KQkq,  e4 c6
Caro-Kann Defense: Accelerated Panov Attack,B10,rnbqkbnr/pp1ppppp/2p5/8/2P1P3/8/PP1P1PPP/RNBQKBNR b KQkq,  e4 c6   c4
"Caro-Kann Defense: Accelerated Panov Attack, Open Variation",B10,rnbqkbnr/pp1p1ppp/2p5/4p3/2P1P3/8/PP1P1PPP/RNBQKBNR w KQkq,  e4 c6   c4 e5
"Caro-Kann Defense: Accelerated Panov Attack, Pseudo-Scandinavian",B10,rnb1kbnr/pp2pppp/2p5/3q4/2P5/8/PP1P1PPP/RNBQKBNR w KQkq,  e4 c6   c4 d5   exd5 Qxd5
"Caro-Kann Defense: Accelerated Panov Attack, Van Weersel Attack",B10,rnbqkbnr/pp2pppp/8/3p4/4P3/1Q6/PP1P1PPP/RNB1KBNR b KQkq,  e4 c6   c4 d5   cxd5 cxd5   Qb3
Caro-Kann Defense: Advance Variation,B12,rnbqkbnr/pp2pppp/2p5/3pP3/3P4/8/PPP2PPP/RNBQKBNR b KQkq,  e4 c6   d4 d5   e5
"Caro-Kann Defense: Advance Variation, Bayonet Attack",B12,rn1qkbnr/pp2pppp/2p5/3pPb2/3P2P1/8/PPP2P1P/RNBQKBNR b KQkq,  e4 c6   d4 d5   e5 Bf5   g4
"Caro-Kann Defense: Advance Variation, Botvinnik-Carls Defense",B12,rnbqkbnr/pp2pppp/8/2ppP3/3P4/8/PPP2PPP/RNBQKBNR w KQkq,  e4 c6   d4 d5   e5 c5
"Caro-Kann Defense: Advance Variation, Bronstein Variation",B12,rn1qkbnr/pp2pppp/2p5/3pPb2/3P4/8/PPP1NPPP/RNBQKB1R b KQkq,  e4 c6   d4 d5   e5 Bf5   Ne2
"Caro-Kann Defense: Advance Variation, Prins Attack",B12,rn1qkbnr/pp2pppp/2p5/3pPb2/1P1P4/8/P1P2PPP/RNBQKBNR b KQkq,  e4 c6   d4 d5   e5 Bf5   b4
"Caro-Kann Defense: Advance Variation, Short Variation",B12,rn1qkbnr/pp2pppp/2p5/3pPb2/3P4/5N2/PPP2PPP/RNBQKB1R b KQkq,  e4 c6   d4 d5   e5 Bf5   Nf3
"Caro-Kann Defense: Advance Variation, Tal Variation",B12,rn1qkbnr/pp2pppp/2p5/3pPb2/3P3P/8/PPP2PP1/RNBQKBNR b KQkq,  e4 c6   d4 d5   e5 Bf5   h4
"Caro-Kann Defense: Advance Variation, Van der Wiel Attack",B12,rn1qkbnr/pp2pppp/2p5/3pPb2/3P4/2N5/PPP2PPP/R1BQKBNR b KQkq,  e4 c6   d4 d5   e5 Bf5   Nc3
"Caro-Kann Defense: Advance Variation, Van der Wiel Attack, Dreyev Defense",B12,rn2kbnr/pp2pppp/1qp5/3pPb2/3P4/2N5/PPP2PPP/R1BQKBNR w KQkq,  e4 c6   d4 d5   e5 Bf5   Nc3 Qb6
Caro-Kann Defense: Breyer Variation,B10,rnbqkbnr/pp1ppppp/2p5/8/4P3/3P4/PPP2PPP/RNBQKBNR b KQkq,  e4 c6   d3
Caro-Kann Defense: De Bruycker Defense,A40,r1bqkbnr/pp1ppppp/n1p5/8/3PP3/8/PPP2PPP/RNBQKBNR w KQkq,  e4 c6   d4 Na6
Caro-Kann Defense: Edinburgh Variation,B12,rnb1kbnr/pp2pppp/1qp5/3p4/3PP3/8/PPPN1PPP/R1BQKBNR w KQkq,  e4 c6   d4 d5   Nd2 Qb6
Caro-Kann Defense: Euwe Attack,B10,rnbqkbnr/pp1ppppp/2p5/8/4P3/1P6/P1PP1PPP/RNBQKBNR b KQkq,  e4 c6   b3
"Caro-Kann Defense: Euwe Attack, Prins Gambit",B10,rnbqkbnr/pp2pppp/8/2pp4/4P3/1P6/PBPP1PPP/RN1QKBNR b KQkq,  e4 c5   b3 d5   Bb2
Caro-Kann Defense: Exchange Variation,B13,rnbqkbnr/pp2pppp/2p5/3P4/3P4/8/PPP2PPP/RNBQKBNR b KQkq,  e4 c6   d4 d5   exd5
"Caro-Kann Defense: Exchange Variation, Bulla Attack",B13,rnbqkbnr/pp2pppp/8/3p4/3P2P1/8/PPP2P1P/RNBQKBNR b KQkq,  e4 c6   d4 d5   exd5 cxd5   g4
Caro-Kann Defense: Goldman Variation,B12,rnbqkbnr/pp2pppp/2p5/3p4/4P3/2N2Q2/PPPP1PPP/R1B1KBNR b KQkq,  e4 c6   Nc3 d5   Qf3
Caro-Kann Defense: Gurgenidze Counterattack,B15,rnbqkbnr/p3pppp/2p5/1p1p4/3PP3/2N5/PPP2PPP/R1BQKBNR w KQkq,  e4 c6   d4 d5   Nc3 b5
Caro-Kann Defense: Gurgenidze System,B15,rnbqkbnr/pp2pp1p/2p3p1/3p4/3PP3/2N5/PPP2PPP/R1BQKBNR w KQkq,  e4 c6   d4 d5   Nc3 g6
Caro-Kann Defense: Hector Gambit,B12,rnbqkbnr/pp2pppp/2p5/6N1/4p3/2N5/PPPP1PPP/R1BQKB1R b KQkq,  e4 c6   Nc3 d5   Nf3 dxe4   Ng5
Caro-Kann Defense: Hillbilly Attack,B00,rnbqkbnr/pp1ppppp/2p5/8/2B1P3/8/PPPP1PPP/RNBQK1NR b KQkq,  e4 c6   Bc4
"Caro-Kann Defense: Hillbilly Attack, Schaeffer Gambit",B10,rnbqkbnr/pp2pppp/2p5/7Q/4p3/1B6/PPPP1PPP/RNB1K1NR b KQkq,  e4 c6   Bc4 d5   Bb3 dxe4   Qh5
Caro-Kann Defense: Labahn Attack,B10,rnbqkbnr/pp1ppppp/2p5/8/1P2P3/8/P1PP1PPP/RNBQKBNR b KQkq,  b4 c6   e4
"Caro-Kann Defense: Labahn Attack, Double Gambit",B10,rnbqkbnr/pp2pppp/2p5/1P1p4/4P3/8/P1PP1PPP/RNBQKBNR b KQkq,  e4 c6   b4 d5   b5
"Caro-Kann Defense: Labahn Attack, Polish Variation",B10,rnbqkbnr/pp1p1ppp/2p5/4p3/1P2P3/8/PBPP1PPP/RN1QKBNR b KQkq,  e4 c6   b4 e5   Bb2
Caro-Kann Defense: Main Line,B15,rnbqkbnr/pp2pppp/2p5/8/3PN3/8/PPP2PPP/R1BQKBNR b KQkq,  e4 c6   d4 d5   Nd2 dxe4   Nxe4
Caro-Kann Defense: Maroczy Variation,B12,rnbqkbnr/pp2pppp/2p5/3p4/3PP3/5P2/PPP3PP/RNBQKBNR b KQkq,  e4 c6   d4 d5   f3
Caro-Kann Defense: Masi Variation,B10,rnbqkb1r/pp1ppppp/2p2n2/8/3PP3/8/PPP2PPP/RNBQKBNR w KQkq,  e4 c6   d4 Nf6
Caro-Kann Defense: Massachusetts Defense,B10,rnbqkbnr/pp1pp1pp/2p5/5p2/3PP3/8/PPP2PPP/RNBQKBNR w KQkq,  e4 c6   d4 f5
Caro-Kann Defense: Mieses Gambit,B12,rnbqkbnr/pp2pppp/2p5/3p4/3PP3/4B3/PPP2PPP/RN1QKBNR b KQkq,  e4 c6   d4 d5   Be3
Caro-Kann Defense: Modern Variation,B12,rnbqkbnr/pp2pppp/2p5/3p4/3PP3/8/PPPN1PPP/R1BQKBNR b KQkq,  e4 c6   d4 d5   Nd2
Caro-Kann Defense: Panov Attack,B13,rnbqkbnr/pp2pppp/8/3p4/2PP4/8/PP3PPP/RNBQKBNR b KQkq,  e4 c6   d4 d5   exd5 cxd5   c4
Caro-Kann Defense: Rasa-Studier Gambit,B15,rnbqkbnr/pp2pppp/2p5/8/3Pp3/2N2P2/PPP3PP/R1BQKBNR b KQkq,  e4 c6   d4 d5   Nc3 dxe4   f3
Caro-Kann Defense: Scorpion-Horus Gambit,B10,rnbqkbnr/pp2pppp/2p5/6B1/4p3/2NP4/PPP2PPP/R2QKBNR b KQkq,  e4 c6   Nc3 d5   d3 dxe4   Bg5
Caro-Kann Defense: Spike Variation,B10,rnbqkbnr/pp1ppppp/2p5/8/4P1P1/8/PPPP1P1P/RNBQKBNR b KQkq,  e4 c6   g4
"Caro-Kann Defense: Spike Variation, Scorpion-Grob Gambit",B10,rnbqkbnr/pp2pppp/2p5/8/4p1P1/2NP4/PPP2P1P/R1BQKBNR b KQkq,  e4 c6   g4 d5   Nc3 dxe4   d3
Caro-Kann Defense: Toikkanen Gambit,B10,rnbqkbnr/pp2pppp/2p5/3pP3/2P5/8/PP1P1PPP/RNBQKBNR b KQkq,  e4 c6   c4 d5   e5
Caro-Kann Defense: Two Knights Attack,B10,rnbqkbnr/pp2pppp/2p5/3p4/4P3/2N2N2/PPPP1PPP/R1BQKB1R b KQkq,  e4 c6   Nc3 d5   Nf3
"Caro-Kann Defense: Two Knights Attack, Mindeno Variation",B11,rn1qkbnr/pp2pppp/2p5/3p4/4P1b1/2N2N2/PPPP1PPP/R1BQKB1R w KQkq,  e4 c6   Nc3 d5   Nf3 Bg4
"Caro-Kann Defense: Two Knights Attack, Mindeno Variation, Retreat Line",B11,rn1qkbnr/pp2pppp/2p5/3p3b/4P3/2N2N1P/PPPP1PP1/R1BQKB1R w KQkq,  e4 c6   Nc3 d5   Nf3 Bg4   h3 Bh5
Caro-Kann Defense: Ulysses Gambit,B12,rnbqkbnr/pp2pppp/2p5/6N1/3Pp3/8/PPP2PPP/RNBQKB1R b KQkq,  e4 c6   d4 d5   Nf3 dxe4   Ng5
Caro-Kann Defense: von Hennig Gambit,B15,rnbqkbnr/pp2pppp/2p5/8/2BPp3/2N5/PPP2PPP/R1BQK1NR b KQkq,  e4 c6   d4 d5   Nc3 dxe4   Bc4
Carr Defense,B00,rnbqkbnr/ppppppp1/7p/8/4P3/8/PPPP1PPP/RNBQKBNR w KQkq,  e4 h6
Carr Defense: Zilbermints Gambit,B00,rnbqkbnr/pppp1pp1/7p/4p3/3PP3/8/PPP2PPP/RNBQKBNR w KQkq,  e4 h6   d4 e5
Catalan Opening,E00,rnbqkb1r/pppp1ppp/4pn2/8/2PP4/6P1/PP2PP1P/RNBQKBNR b KQkq,  d4 Nf6   c4 e6   g3
Catalan Opening: Closed Variation,E01,rnbqkb1r/ppp2ppp/4pn2/3p4/2PP4/6P1/PP2PPBP/RNBQK1NR b KQkq,  d4 Nf6   c4 e6   g3 d5   Bg2
Catalan Opening: Hungarian Gambit,E00,rnbqkb1r/pppp1ppp/5n2/4p3/2PP4/6P1/PP2PP1P/RNBQKBNR w KQkq,  d4 Nf6   c4 e6   g3 e5
Center Game,C21,rnbqkbnr/pppp1ppp/8/4p3/3PP3/8/PPP2PPP/RNBQKBNR b KQkq,  e4 e5   d4
Center Game Accepted,C21,rnbqkbnr/pppp1ppp/8/8/3pP3/8/PPP2PPP/RNBQKBNR w KQkq,  e4 e5   d4 exd4
Center Game: Halasz-McDonnell Gambit,C21,rnbqkbnr/pppp1ppp/8/8/3pPP2/8/PPP3PP/RNBQKBNR b KQkq,  e4 e5   d4 exd4   f4
Center Game: Hall Variation,C22,r1bqkbnr/pppp1ppp/2n5/8/2Q1P3/8/PPP2PPP/RNB1KBNR b KQkq,  e4 e5   d4 exd4   Qxd4 Nc6   Qc4
Center Game: Kieseritzky Variation,C21,rnbqkbnr/pppp1ppp/8/8/3pP3/5N2/PPP2PPP/RNBQKB1R b KQkq,  e4 e5   d4 exd4   Nf3
Center Game: Lanc-Arnold Gambit,C21,rnbqk1nr/pppp1ppp/8/2b5/3pP3/2P2N2/PP3PPP/RNBQKB1R b KQkq,  e4 e5   d4 exd4   Nf3 Bc5   c3
Center Game: Normal Variation,C22,r1bqkbnr/pppp1ppp/2n5/8/3QP3/8/PPP2PPP/RNB1KBNR w KQkq,  e4 e5   d4 exd4   Qxd4 Nc6
Center Game: Paulsen Attack Variation,C22,r1bqkbnr/pppp1ppp/2n5/8/4P3/4Q3/PPP2PPP/RNB1KBNR b KQkq,  e4 e5   d4 exd4   Qxd4 Nc6   Qe3
Center Game: Ross Gambit,C21,rnbqkbnr/pppp1ppp/8/8/3pP3/3B4/PPP2PPP/RNBQK1NR b KQkq,  e4 e5   d4 exd4   Bd3
Center Game: von der Lasa Gambit,C21,rnbqkbnr/pppp1ppp/8/8/2BpP3/8/PPP2PPP/RNBQK1NR b KQkq,  e4 e5   d4 exd4   Bc4
Clemenz Opening,A00,rnbqkbnr/pppppppp/8/8/8/7P/PPPPPPP1/RNBQKBNR b KQkq,  h3
Clemenz Opening: Spike Lee Gambit,A00,rnbqkbnr/ppppppp1/8/7p/6P1/7P/PPPPPP2/RNBQKBNR b KQkq,  h3 h5   g4
Colle System,D05,rnbqkb1r/ppp2ppp/4pn2/3p4/3P4/4PN2/PPP2PPP/RNBQKB1R w KQkq,  d4 d5   Nf3 Nf6   e3 e6
Crab Opening,A00,rnbqkbnr/pppp1ppp/8/4p3/P6P/8/1PPPPPP1/RNBQKBNR b KQkq,  a4 e5   h4
Creepy Crawly Formation: Classical Defense,A00,rnbqkbnr/ppp2ppp/8/3pp3/8/P6P/1PPPPPP1/RNBQKBNR w KQkq,  h3 d5   a3 e5
Czech Defense,B07,rnbqkb1r/pp2pppp/2pp1n2/8/3PP3/2N5/PPP2PPP/R1BQKBNR w KQkq,  e4 d6   d4 Nf6   Nc3 c6
Danish Gambit,C21,rnbqkbnr/pppp1ppp/8/8/3pP3/2P5/PP3PPP/RNBQKBNR b KQkq,  e4 e5   d4 exd4   c3
"Danish Gambit Accepted, Svenonius Defense",C21,rnbqkb1r/ppppnppp/8/8/3pP3/2P5/PP3PPP/RNBQKBNR w KQkq,  e4 e5   d4 exd4   c3 Ne7
"Danish Gambit Declined, Sorensen Defense",C21,rnbqkbnr/ppp2ppp/8/3p4/3pP3/2P5/PP3PPP/RNBQKBNR w KQkq,  e4 e5   d4 exd4   c3 d5
Doery Defense,A46,rnbqkb1r/pppppppp/8/8/3Pn3/5N2/PPP1PPPP/RNBQKB1R w KQkq,  d4 Nf6   Nf3 Ne4
Dresden Opening: The Goblin,C67,r1bqkb1r/pppp1ppp/2n2n2/4N3/2P1P3/8/PP1P1PPP/RNBQKB1R b KQkq,  e4 e5   Nf3 Nc6   c4 Nf6   Nxe5
Duras Gambit,B00,rnbqkbnr/ppppp1pp/8/5p2/4P3/8/PPPP1PPP/RNBQKBNR w KQkq,  e4 f5
Dutch Defense,A80,rnbqkbnr/ppppp1pp/8/5p2/3P4/8/PPP1PPPP/RNBQKBNR w KQkq,  d4 f5
Dutch Defense: Alapin Variation,A80,rnbqkbnr/ppppp1pp/8/5p2/3P4/3Q4/PPP1PPPP/RNB1KBNR b KQkq,  d4 f5   Qd3
Dutch Defense: Blackburne Variation,A81,rnbqkb1r/pppp2pp/4pn2/5p2/3P4/6PN/PPP1PPBP/RNBQK2R b KQkq,  d4 f5   g3 Nf6   Bg2 e6   Nh3
Dutch Defense: Blackmar's Second Gambit,A80,rnbqkb1r/ppppp1pp/5n2/8/3Pp3/2N2P2/PPP3PP/R1BQKBNR b KQkq,  d4 f5   e4 fxe4   Nc3 Nf6   f3
Dutch Defense: Bladel Variation,A84,rnbqkb1r/ppppp2p/6pn/5p2/2PP4/2N5/PP2PPPP/R1BQKBNR w KQkq,  d4 f5   c4 g6   Nc3 Nh6
Dutch Defense: Classical Variation,A84,rnbqkbnr/pppp2pp/4p3/5p2/2PP4/8/PP2PPPP/RNBQKBNR w KQkq,  d4 e6   c4 f5
Dutch Defense: Fianchetto Attack,A81,rnbqkbnr/ppppp1pp/8/5p2/3P4/6P1/PPP1PP1P/RNBQKBNR b KQkq,  d4 f5   g3
Dutch Defense: Fianchetto Variation,A86,rnbqkb1r/ppppp1pp/5n2/5p2/2PP4/6P1/PP2PP1P/RNBQKBNR b KQkq,  d4 f5   c4 Nf6   g3
Dutch Defense: Hevendehl Gambit,A80,rnbqkbnr/pppp2pp/8/4pp2/3P2P1/8/PPP1PP1P/RNBQKBNR w KQkq,  d4 f5   g4 e5
Dutch Defense: Hopton Attack,A80,rnbqkbnr/ppppp1pp/8/5pB1/3P4/8/PPP1PPPP/RN1QKBNR b KQkq,  d4 f5   Bg5
Dutch Defense: Janzen-Korchnoi Gambit,A80,rnbqkb1r/ppppp1pp/5n2/5p2/3P2P1/7P/PPP1PP2/RNBQKBNR b KQkq,  d4 f5   h3 Nf6   g4
Dutch Defense: Kingfisher Gambit,A80,rnbqkbnr/ppp1p1pp/8/3p1p2/3PP3/2N5/PPP2PPP/R1BQKBNR b KQkq,  d4 f5   Nc3 d5   e4
Dutch Defense: Korchnoi Attack,A80,rnbqkbnr/ppppp1pp/8/5p2/3P4/7P/PPP1PPP1/RNBQKBNR b KQkq,  d4 f5   h3
Dutch Defense: Krause Variation,A84,r1bqkb1r/ppp1p1pp/2np1n2/5p2/2PP4/2N2N2/PP2PPPP/R1BQKB1R w KQkq,  c4 f5   Nc3 Nf6   Nf3 Nc6   d4 d6
Dutch Defense: Krejcik Gambit,A80,rnbqkbnr/ppppp1pp/8/5p2/3P2P1/8/PPP1PP1P/RNBQKBNR b KQkq,  d4 f5   g4
"Dutch Defense: Krejcik Gambit, Tate Gambit",A80,rnbqkbnr/ppp1p1pp/8/3p4/3PP1p1/2N5/PPP2P1P/R1BQKBNR b KQkq,  d4 f5   g4 fxg4   e4 d5   Nc3
Dutch Defense: Leningrad Variation,A86,rnbqkb1r/ppppp2p/5np1/5p2/2PP4/6P1/PP2PP1P/RNBQKBNR w KQkq,  d4 f5   c4 Nf6   g3 g6
"Dutch Defense: Leningrad Variation, Karlsbad Variation",A81,rnbqk1nr/ppppp1bp/6p1/5p2/3P4/6PN/PPP1PPBP/RNBQK2R b KQkq,  d4 f5   g3 g6   Bg2 Bg7   Nh3
"Dutch Defense: Manhattan Gambit, Anti-Classical Line",A80,rnbqkbnr/pppp2pp/4p3/5p2/3P2P1/3Q4/PPP1PP1P/RNB1KBNR b KQkq,  d4 f5   Qd3 e6   g4
"Dutch Defense: Manhattan Gambit, Anti-Leningrad",A80,rnbqkbnr/ppppp2p/6p1/5p2/3P2P1/3Q4/PPP1PP1P/RNB1KBNR b KQkq,  d4 f5   Qd3 g6   g4
"Dutch Defense: Manhattan Gambit, Anti-Modern",A80,rnbqkbnr/ppp1p1pp/3p4/5p2/3P2P1/3Q4/PPP1PP1P/RNB1KBNR b KQkq,  d4 f5   Qd3 d6   g4
"Dutch Defense: Manhattan Gambit, Anti-Stonewall",A80,rnbqkbnr/ppp1p1pp/8/3p1p2/3P2P1/3Q4/PPP1PP1P/RNB1KBNR b KQkq,  d4 f5   Qd3 d5   g4
Dutch Defense: Nimzo-Dutch Variation,A90,rnbqk2r/pppp2pp/4pn2/5p2/1bPP4/6P1/PP2PPBP/RNBQK1NR w KQkq,  d4 e6   c4 f5   g3 Nf6   Bg2 Bb4+
Dutch Defense: Normal Variation,A84,rnbqkb1r/ppppp1pp/5n2/5p2/2PP4/8/PP2PPPP/RNBQKBNR w KQkq,  d4 f5   c4 Nf6
Dutch Defense: Omega-Isis Gambit,A80,rnbqkbnr/pppp2pp/8/4pp2/3P4/5N2/PPP1PPPP/RNBQKB1R w KQkq,  d4 f5   Nf3 e5
Dutch Defense: Queen's Knight Variation,A85,rnbqkb1r/ppppp1pp/5n2/5p2/2PP4/2N5/PP2PPPP/R1BQKBNR b KQkq,  d4 f5   c4 Nf6   Nc3
Dutch Defense: Raphael Variation,A80,rnbqkbnr/ppppp1pp/8/5p2/3P4/2N5/PPP1PPPP/R1BQKBNR b KQkq,  d4 f5   Nc3
Dutch Defense: Rubinstein Variation,A84,rnbqkbnr/pppp2pp/4p3/5p2/2PP4/2N5/PP2PPPP/R1BQKBNR b KQkq,  d4 e6   c4 f5   Nc3
Dutch Defense: Semi-Leningrad Variation,A81,rnbqkb1r/ppppp2p/5np1/5p2/3P4/6P1/PPP1PPBP/RNBQK1NR w KQkq,  d4 f5   g3 Nf6   Bg2 g6
Dutch Defense: Senechaud Gambit,A80,rnbqkbnr/pppp2pp/4p3/5p2/3P1BP1/8/PPP1PP1P/RN1QKBNR b KQkq,  d4 e6   Bf4 f5   g4
Dutch Defense: Spielmann Gambit,A80,rnbqkb1r/ppppp1pp/5n2/5p2/3P2P1/2N5/PPP1PP1P/R1BQKBNR b KQkq,  d4 f5   Nc3 Nf6   g4
Dutch Defense: Staunton Gambit,A82,rnbqkbnr/ppppp1pp/8/5p2/3PP3/8/PPP2PPP/RNBQKBNR b KQkq,  d4 f5   e4
Dutch Defense: Staunton Gambit Accepted,A82,rnbqkbnr/ppppp1pp/8/8/3Pp3/8/PPP2PPP/RNBQKBNR w KQkq,  d4 f5   e4 fxe4
"Dutch Defense: Staunton Gambit, American Attack",A82,rnbqkbnr/ppppp1pp/8/8/3Pp3/8/PPPN1PPP/R1BQKBNR b KQkq,  d4 f5   e4 fxe4   Nd2
"Dutch Defense: Staunton Gambit, Tartakower Variation",A82,rnbqkb1r/ppppp1pp/5n2/8/3Pp1P1/2N5/PPP2P1P/R1BQKBNR b KQkq,  d4 f5   e4 fxe4   Nc3 Nf6   g4
East Indian Defense,A49,rnbqkb1r/pppppp1p/5np1/8/3P4/5N2/PPP1PPPP/RNBQKB1R w KQkq,  d4 Nf6   Nf3 g6
Elephant Gambit,C40,rnbqkbnr/ppp2ppp/8/3pp3/4P3/5N2/PPPP1PPP/RNBQKB1R w KQkq,  e4 e5   Nf3 d5
Elephant Gambit: Maroczy Gambit,C40,rnbqk1nr/ppp2ppp/3b4/3Pp3/8/5N2/PPPP1PPP/RNBQKB1R w KQkq,  e4 e5   Nf3 d5   exd5 Bd6
Elephant Gambit: Paulsen Countergambit,C40,rnbqkbnr/ppp2ppp/8/3P4/4p3/5N2/PPPP1PPP/RNBQKB1R w KQkq,  e4 e5   Nf3 d5   exd5 e4
English Defense,A40,rnbqkbnr/p1pppppp/1p6/8/3P4/8/PPP1PPPP/RNBQKBNR w KQkq,  d4 b6
English Defense: Eastbourne Gambit,A40,rn1qkbnr/pbpp1ppp/1p6/4p3/2PP4/2N5/PP2PPPP/R1BQKBNR w KQkq,  d4 b6   c4 Bb7   Nc3 e5
English Defense: Perrin Variation,A40,r2qkbnr/pbpp1ppp/1pn1p3/8/2PPP3/3B4/PP3PPP/RNBQK1NR w KQkq,  d4 e6   c4 b6   e4 Bb7   Bd3 Nc6
English Opening,A10,rnbqkbnr/pppppppp/8/8/2P5/8/PP1PPPPP/RNBQKBNR b KQkq,  c4
English Opening: Achilles-Omega Gambit,A10,rnbqkb1r/pppppppp/5n2/8/2P1P3/8/PP1P1PPP/RNBQKBNR b KQkq,  e4 Nf6   c4
English Opening: Adorjan Defense,A10,rnbqkbnr/pppp1p1p/6p1/4p3/2P1P3/8/PP1P1PPP/RNBQKBNR w KQkq,  c4 g6   e4 e5
English Opening: Agincourt Defense,A13,rnbqkbnr/pppp1ppp/4p3/8/2P5/8/PP1PPPPP/RNBQKBNR w KQkq,  c4 e6
"English Opening: Agincourt Defense, Bogoljubov Defense",A13,rnbqk2r/ppp2ppp/3bpn2/3p4/2P5/5NP1/PP1PPPBP/RNBQK2R w KQkq,  Nf3 Nf6   c4 e6   g3 d5   Bg2 Bd6
"English Opening: Agincourt Defense, Catalan Defense",A13,rnbqkbnr/pp3ppp/4p3/2pp4/2P5/5NP1/PP1PPP1P/RNBQKB1R w KQkq,  Nf3 d5   c4 e6   g3 c5
"English Opening: Agincourt Defense, Catalan Defense, Semi-Slav Defense",A13,rnbqkb1r/pp3ppp/2p1pn2/3p4/2P5/5NP1/PP1PPPBP/RNBQK2R w KQkq,  Nf3 Nf6   c4 e6   g3 d5   Bg2 c6
"English Opening: Agincourt Defense, Kurajica Defense",A13,rnbqkbnr/pp3ppp/2p1p3/3p4/2P5/5NP1/PP1PPP1P/RNBQKB1R w KQkq,  Nf3 d5   c4 e6   g3 c6
English Opening: Anglo-Dutch Defense,A10,rnbqkbnr/ppppp1pp/8/5p2/2P5/8/PP1PPPPP/RNBQKBNR w KQkq,  c4 f5
"English Opening: Anglo-Dutch Defense, Hickmann Gambit",A10,rnbqkbnr/ppppp1pp/8/5p2/2P1P3/8/PP1P1PPP/RNBQKBNR b KQkq,  c4 f5   e4
"English Opening: Anglo-Dutch Variation, Chabanon Gambit",A10,rnbqkbnr/ppp1p1pp/3p4/5p2/2P1P3/5N2/PP1P1PPP/RNBQKB1R b KQkq,  c4 f5   Nf3 d6   e4
"English Opening: Anglo-Dutch Variation, Ferenc Gambit",A10,rnbqkb1r/ppppp1pp/5n2/5p2/2P1P3/2N5/PP1P1PPP/R1BQKBNR b KQkq,  c4 f5   Nc3 Nf6   e4
